temperature_K,bit_rate_bits_per_s,Pmin_W
20.0,1.3093533273536067e+29,25060838.372931834
20.0,1.6119733573881556e+29,30852943.149139028
20.0,1.984535457805803e+29,37983729.307003334
20.0,2.443204762186472e+29,46762595.22774097
20.0,3.0078825180430836e+29,57570447.98732744
20.0,3.7030695840051255e+29,70876230.5710398
20.0,4.55892949998105e+29,87257268.88672067
20.0,5.6125972559549656e+29,107424321.41531661
20.0,6.909790545715645e+29,132252418.3804414
20.0,8.5067934163641e+29,162818828.52072024
20.0,1.0472898382363531e+30,200449800.8089388
20.0,1.2893412965257104e+30,246778109.19902268
20.0,1.5873361110102054e+30,303813897.2155518
20.0,1.9542040079740515e+30,374031896.26864773
20.0,2.4058630546440668e+30,460478802.01827437
20.0,2.961910329772535e+30,566905467.7515672
20.0,3.64647222321273e+30,697929650.5246546
20.0,4.4892512582185893e+30,859236371.4772443
20.0,5.526814857144591e+30,1057824583.7734336
20.0,6.804181968927094e+30,1302310850.8682044
